#ZVView-data-copy:  16-Jul-2018 14:45:38
#=======================================
#
#name:   ENDF/B-VII.1: TH-232(N,G)TH-233
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  74445
#data...
#            X            Y
#          MeV        barns
    2.11819e-5       4.8351
    2.11993e-5      5.09776
    2.12167e-5      5.38473
    2.12341e-5      5.69921
    2.12515e-5      6.04497
    2.12724e-5      6.50751
    2.12863e-5        6.849
    2.13003e-5      7.22081
    2.13142e-5      7.62677
    2.13281e-5      8.07141
     2.1342e-5      8.56002
     2.1356e-5      9.09891
    2.13686e-5      9.63699
    2.13799e-5      10.1652
    2.13912e-5      10.7427
    2.14025e-5      11.3762
    2.14139e-5      12.0737
    2.14252e-5       12.845
    2.14365e-5      13.7019
    2.14478e-5      14.6594
    2.14578e-5      15.6049
    2.14665e-5      16.5156
    2.14752e-5      17.5227
    2.14839e-5      18.6431
    2.14926e-5      19.8985
    2.14992e-5      20.9451
    2.15057e-5      22.0979
    2.15122e-5      23.3748
    2.15187e-5      24.7982
    2.15248e-5      26.2827
    2.15301e-5      27.6958
    2.15353e-5      29.2605
    2.15405e-5      31.0006
    2.15457e-5      32.9448
     2.1551e-5      35.1265
    2.15562e-5       37.585
    2.15614e-5      40.3661
    2.15649e-5      42.4254
    2.15684e-5      44.6696
    2.15718e-5      47.1181
    2.15753e-5      49.7927
    2.15788e-5      52.7169
     2.1583e-5       56.592
    2.15872e-5      60.9129
    2.15913e-5      65.7334
    2.15955e-5      71.1131
    2.15997e-5      77.1165
    2.16025e-5      81.4997
    2.16053e-5      86.2137
    2.16081e-5      91.2818
    2.16108e-5      96.7283
    2.16136e-5      102.579
    2.16164e-5       108.86
    2.16192e-5      115.599
     2.1622e-5      122.826
    2.16256e-5      132.844
    2.16288e-5      142.803
    2.16321e-5      153.576
    2.16353e-5      165.212
    2.16386e-5      177.766
    2.16419e-5      191.288
    2.16451e-5      205.831
    2.16484e-5      221.447
    2.16517e-5      238.187
    2.16549e-5      256.099
    2.16582e-5      275.232
    2.16616e-5      296.474
     2.1665e-5      319.129
    2.16695e-5      351.606
     2.1674e-5      386.753
    2.16784e-5      423.121
    2.16826e-5      460.439
    2.16878e-5      510.407
    2.16927e-5      560.339
    2.16979e-5      617.272
    2.17031e-5      677.595
    2.17101e-5      762.863
    2.17188e-5      876.069
    2.17292e-5      1018.77
    2.17475e-5       1272.2
    2.17568e-5      1394.32
    2.17652e-5      1495.11
    2.17735e-5      1583.89
    2.17791e-5      1634.85
    2.17847e-5      1678.27
    2.17902e-5       1713.4
    2.17958e-5      1739.67
    2.18014e-5      1756.62
    2.18077e-5      1764.21
    2.18085e-5      1764.28
    2.18139e-5      1759.46
    2.18203e-5      1742.01
    2.18259e-5      1716.78
    2.18315e-5      1682.64
     2.1837e-5      1640.18
    2.18426e-5       1590.1
     2.1851e-5      1502.52
    2.18593e-5      1402.76
    2.18663e-5      1312.73
    2.18805e-5      1118.23
     2.1896e-5      904.267
    2.19033e-5      807.845
    2.19103e-5      720.385
    2.19173e-5      638.115
    2.19228e-5      576.486
    2.19274e-5      529.331
    2.19326e-5      478.282
    2.19378e-5      430.887
    2.19413e-5      401.324
    2.19448e-5      373.372
    2.19482e-5      347.011
    2.19517e-5      322.208
    2.19557e-5      295.565
    2.19591e-5      274.503
    2.19625e-5      254.794
    2.19659e-5      236.387
    2.19693e-5       219.23
    2.19727e-5      203.269
    2.19761e-5      188.446
    2.19795e-5      174.703
    2.19829e-5      161.983
    2.19863e-5      150.227
    2.19897e-5      139.379
    2.19927e-5      130.369
    2.19958e-5      122.004
    2.19988e-5      114.245
    2.20019e-5      107.055
    2.20049e-5      100.396
     2.2008e-5      94.2348
     2.2011e-5      88.5365
    2.20141e-5      83.2693
    2.20171e-5      78.4023
    2.20201e-5       73.907
    2.20232e-5      69.7557
    2.20262e-5      65.9225
    2.20293e-5       62.383
    2.20323e-5      59.1145
    2.20354e-5      56.0954
    2.20384e-5      53.3061
    2.20423e-5      50.0274
    2.20463e-5      47.0614
    2.20502e-5      44.3754
    2.20541e-5      41.9395
     2.2058e-5      39.7271
    2.20619e-5      37.7141
    2.20658e-5      35.8792
    2.20698e-5       34.203
    2.20756e-5      31.9495
    2.20815e-5      29.9653
    2.20874e-5      28.2087
    2.20933e-5      26.6448
    2.20991e-5      25.2447
    2.21055e-5      23.8962
     2.2112e-5       22.645
    2.21185e-5      21.5182
     2.2125e-5      20.4978
    2.21316e-5       19.569
    2.21403e-5      18.4525
     2.2149e-5      17.4545
    2.21577e-5      16.5569
    2.21664e-5      15.7454
    2.21777e-5      14.8003
    2.21882e-5      14.0223
    2.21986e-5       13.322
     2.2209e-5      12.6892
    2.22195e-5      12.1155
    2.22334e-5      11.4306
    2.22473e-5      10.8247
    2.22613e-5      10.2869
    2.22752e-5      9.80811
    2.22909e-5      9.33086
    2.23083e-5      8.86665
    2.23257e-5      8.46259
    2.23431e-5      8.11074
    2.23605e-5      7.80462
    2.23779e-5      7.53889
    2.23953e-5      7.30911
    2.24127e-5      7.11162
    2.24389e-5      6.86935
     2.2465e-5      6.68466
    2.24911e-5      6.55125
    2.25172e-5      6.46445
    2.25433e-5      6.42093
    2.25607e-5      6.41486
     2.2589e-5      6.44304
    2.26173e-5      6.51792
    2.26456e-5      6.64012
    2.26739e-5      6.81139
    2.27022e-5      7.03469
    2.27217e-5      7.22054
    2.27417e-5      7.44173
    2.27618e-5      7.69554
    2.27818e-5      7.98497
    2.28018e-5      8.31362
    2.28219e-5       8.6858
    2.28419e-5       9.1067
    2.28619e-5      9.58255
    2.28806e-5      10.0801
    2.28977e-5      10.5934
    2.29149e-5      11.1655
    2.29321e-5      11.8043
    2.29493e-5      12.5195
    2.29664e-5      13.3226
    2.29836e-5      14.2278
    2.29965e-5      14.9838
    2.30094e-5      15.8156
    2.30208e-5      16.6269
    2.30323e-5      17.5147
    2.30437e-5      18.4892
    2.30552e-5      19.5622
    2.30666e-5      20.7481
    2.30781e-5      22.0643
    2.30895e-5      23.5321
     2.3101e-5       25.178
    2.31105e-5        26.71
      2.312e-5       28.414
    2.31296e-5      30.3215
    2.31367e-5      31.9095
    2.31439e-5      33.6557
    2.31511e-5      35.5861
    2.31582e-5      37.7329
    2.31654e-5      40.1361
    2.31725e-5      42.8448
    2.31792e-5      45.7027
    2.31849e-5      48.4531
    2.31907e-5      51.5299
    2.31964e-5      54.9887
    2.32021e-5      58.8948
    2.32059e-5      61.7851
    2.32097e-5      64.9343
    2.32136e-5      68.3717
    2.32174e-5      72.1291
    2.32212e-5      76.2423
     2.3225e-5      80.7504
    2.32288e-5      85.6966
    2.32326e-5      91.1282
    2.32365e-5      97.0968
    2.32403e-5      103.659
    2.32441e-5      110.875
    2.32479e-5      118.812
    2.32517e-5      127.541
    2.32555e-5      137.137
    2.32594e-5      147.684
    2.32632e-5      159.266
     2.3267e-5      171.977
    2.32703e-5        184.1
    2.32732e-5      195.288
    2.32761e-5      207.259
    2.32789e-5      220.058
    2.32823e-5      236.097
    2.32861e-5      255.979
    2.32895e-5      275.378
    2.32926e-5       293.89
     2.3296e-5      316.218
    2.32998e-5       342.99
    2.33036e-5      371.936
    2.33074e-5      403.166
    2.33113e-5      436.784
    2.33151e-5      472.888
    2.33191e-5      513.566
    2.33233e-5      559.324
    2.33273e-5      606.076
    2.33311e-5      653.451
    2.33349e-5      703.633
    2.33407e-5      784.194
    2.33464e-5      871.053
    2.33521e-5      964.037
    2.33578e-5      1062.85
    2.33655e-5      1202.88
    2.33731e-5         1351
    2.33845e-5      1583.98
    2.34042e-5      1989.64
    2.34149e-5       2197.7
     2.3424e-5      2359.27
    2.34301e-5      2455.19
    2.34362e-5       2539.7
    2.34423e-5       2611.3
    2.34484e-5      2668.66
    2.34545e-5      2710.71
    2.34616e-5      2739.13
    2.34671e-5      2746.04
    2.34726e-5      2739.35
     2.3479e-5      2714.54
    2.34851e-5      2674.34
    2.34912e-5      2618.75
    2.34973e-5      2548.83
